,e2'_es,e2'_nl,Dev_en,e3'_en,Dev_de,e3'_de,Dev_es,e3'_es,Dev_nl,e3'_nl,Dev_zh,e3'_zh,Dev_en_de_zh,e3_es,e3_nl,embedd_sim
model-seed_208416-lr_5e-05-ep_7,0.19843487982112906,0.1629658485910921,0.055518282455551904,0.0958230958230959,0.14610842726784756,0.18604322644441296,0.2507586827020343,0.2592181868588854,0.19855884707766225,0.22052401746724892,0.105940238839629,0.13633104578510713,0.10252231618767615,0.06078330703775636,0.057558168876156834,0.9217867255210876
model-seed_111316-lr_3e-05-ep_3,0.21384254791120916,0.19711414583870146,0.05770036010384394,0.09663276043493518,0.14023479188900745,0.18494773519163765,0.24090704984283795,0.2660753880266076,0.1829414109206855,0.22564868903681568,0.13184294953404285,0.15459961627789565,0.10992603384229808,0.052232840115398416,0.028534543198114215,0.9127994775772095
model-seed_89477-lr_7e-05-ep_5,0.2417774197878909,0.19411917772573506,0.05816292323164607,0.09620275366131714,0.15820122937560654,0.20045204124876403,0.271842462652784,0.27325742849208556,0.19350310808101057,0.23584131326949387,0.1182961252245317,0.15660435182347532,0.1115534259439281,0.03148000870419465,0.04172213554375881,0.9300841689109802
model-seed_96875-lr_5e-05-ep_6,0.22152516380872722,0.1644018118838263,0.05520650079584477,0.08960070206230797,0.14246019023191203,0.19399213924761372,0.23907165389815233,0.2620172270075021,0.18220084185207452,0.21752183406113546,0.10599456438131372,0.14034369885433706,0.10122041846969017,0.04049206319877485,0.053120022177309156,0.90633225440979
model-seed_452597-lr_3e-05-ep_4,0.2017191182586996,0.16589801027803408,0.05934544237046957,0.09209367846451832,0.13619841778918107,0.18521617852161776,0.24404162470627722,0.25044995154368,0.17740969866294154,0.20649208947081288,0.11947760432608912,0.14793856103476155,0.10500715482857992,0.0487308332849804,0.0405940791927788,0.9097420573234558
model-seed_886259-lr_0.0001-ep_7,0.26532856750068745,0.24920886075949367,0.06186518928901197,0.10127584689837221,0.17466451959205587,0.19949174078780185,0.2635142760410789,0.27835051546391754,0.2161616161616161,0.2539769610532091,0.11455712451861366,0.15576766856214452,0.1170289444665605,0.013021947963230085,0.004768100293715438,0.9522628784179688
model-seed_332946-lr_5e-05-ep_4,0.19294862966533533,0.16165168685684506,0.05424666722562255,0.09456140350877185,0.1460049203123328,0.18720312936574468,0.26379815273710294,0.27154155681975845,0.17998804066175,0.21250170601883445,0.12213197969543144,0.15073752273186491,0.1074611890777956,0.07859292715442312,0.05085001916198939,0.8795531988143921
model-seed_381085-lr_5e-05-ep_6,0.2180348088255446,0.20386574376387612,0.058201945655820264,0.0884520884520884,0.15239633817985998,0.18641212801796736,0.24571428571428577,0.2589937973811165,0.1863254698120752,0.21677171827898045,0.10680708964808627,0.14262511420160384,0.1058017911612555,0.040958988555571896,0.012905974515104335,0.9091970324516296
model-seed_32640-lr_0.0001-ep_3,0.24734446130500765,0.19801602441816102,0.061416003351487225,0.10373880989994744,0.16700764509529453,0.19802955665024635,0.26270612152699346,0.28569438640479183,0.21085679562487336,0.24382503104733,0.14384537131230934,0.17081059227814832,0.12408967325303037,0.03834992509978419,0.04580900662916898,0.9296248555183411
model-seed_646309-lr_1e-06-ep_7,0.23603992446722422,0.246951219512195,0.16529543754674658,0.17613139961558621,0.2319375593291847,0.2812629829663482,0.3058679434361429,0.30948464912280704,0.28143021914648214,0.3097740409879137,0.3232545623562797,0.33077830188679247,0.24016251974407032,0.07344472465558283,0.06282282147571872,0.8953391909599304
model-seed_969759-lr_3e-05-ep_3,0.19010309278350523,0.15418388429752072,0.057977076884464185,0.09687034277198203,0.13509482207543133,0.18539247236602774,0.2411235955056179,0.2594752186588921,0.17288135593220322,0.21486928104575154,0.12962962962962976,0.1474805407619828,0.10756717619650842,0.06937212587538688,0.06068539674823081,0.8802745938301086
model-seed_506833-lr_7e-05-ep_7,0.20668523676880224,0.18895643363728476,0.05627414748866122,0.09617245930488338,0.15357334766254715,0.1823529411764706,0.259846084200996,0.2571907288466909,0.19375500400320256,0.2347118644067797,0.1111566228047719,0.14186426819296816,0.10700137265199343,0.05050549207788868,0.045755430769494954,0.9386522769927979
model-seed_748404-lr_7e-05-ep_3,0.2599083310865463,0.15751482340809486,0.05728643216080398,0.09707376905554566,0.14667236406366846,0.18673598426303217,0.2559077164296114,0.2703000275254611,0.18418972332015804,0.23377849723458788,0.1312873410611245,0.14622737441529388,0.1117487124285323,0.0103916964389148,0.07626367382649302,0.9214399456977844
model-seed_679183-lr_5e-05-ep_3,0.20610057708161578,0.14832535885167453,0.06337379656760156,0.09893001227854759,0.1452753374758946,0.19150133671028557,0.2554286993507947,0.2645752359800111,0.1778577138289369,0.21567560212273773,0.13070001525087693,0.16357402178297709,0.11311638309812437,0.058474658898395315,0.0673502432710632,0.9274141192436218
model-seed_26728-lr_5e-05-ep_3,0.20825777653787148,0.1586901763224181,0.05967026529416697,0.09236031927023947,0.14572649572649565,0.19009651699538388,0.24106344950848968,0.26485592168757743,0.18237745584441345,0.21710882512181906,0.12831790518079056,0.16193181818181812,0.11123822206715106,0.05659814514970596,0.05841864879940095,0.9090138077735901
model-seed_477759-lr_7e-05-ep_3,0.22884271363698916,0.19445504260460378,0.05816386308477706,0.0984238178633976,0.14854026307346813,0.19013591144738684,0.2474935225864594,0.2648363838047698,0.17849290425744557,0.2205338809034908,0.12866516301004716,0.15611985779583526,0.11178976305609745,0.035993670167780656,0.02607883829888702,0.8793847560882568
model-seed_365806-lr_5e-05-ep_5,0.19933738266151302,0.17445161290322597,0.057877544182929896,0.09286840721920453,0.13947789025039958,0.18713286713286725,0.2548189415041784,0.2593711382671975,0.18689710610932486,0.22714833059660633,0.11481764855904109,0.1354103034005295,0.10405769433079019,0.06003375560568447,0.05269671769338036,0.9215232729911804
model-seed_41017-lr_7e-05-ep_5,0.22090592334494785,0.17670364500792402,0.0577293674067868,0.09511703340054367,0.15613263225667984,0.18732551647124518,0.25586090858104316,0.2644444444444445,0.2051128420211703,0.23508676789587857,0.11562468024148165,0.14846850513890308,0.10982889330164942,0.04353852109949663,0.05838312288795455,0.8976490497589111
model-seed_428228-lr_5e-05-ep_3,0.20466712422786548,0.1551479137062396,0.05954172938618496,0.09647511589259161,0.14996248258119838,0.19664804469273756,0.24137158225011202,0.2524218101300858,0.18467037331215252,0.22501017225010167,0.13397250545325423,0.1544518473652332,0.11449223914021252,0.04775468590222032,0.06986225854386208,0.8641594648361206
model-seed_604168-lr_7e-05-ep_7,0.22365680966264045,0.2030254777070064,0.05940511101801427,0.09522974394949146,0.15218093699515345,0.19313546209030807,0.2559343008212397,0.26309937456567056,0.19085805934242184,0.22519083969465659,0.10573274535945032,0.13928934010152283,0.10577293112420601,0.03944256490303011,0.02216536198765018,0.9427286982536316
model-seed_140863-lr_0.0001-ep_6,0.25247455736790747,0.26381620931716643,0.062311557788944705,0.10075346066234447,0.163702985235478,0.20163334272036038,0.27900677200902935,0.28109313998884555,0.21558336697618086,0.2517492111400742,0.12058042100960564,0.14897085795801923,0.11553165467800945,0.028618582620938082,-0.012066998177092225,0.9506475329399109
model-seed_700486-lr_7e-05-ep_6,0.21297327394209364,0.1807073954983922,0.05875470121186788,0.09922059725019694,0.15318967356518043,0.18597177588375025,0.2520397898737007,0.25777470628887356,0.20088035214085642,0.22513661202185786,0.10973550928531228,0.1429729455871922,0.10722662802078686,0.04480143234677991,0.04442921652346565,0.9462296962738037
model-seed_763743-lr_3e-05-ep_7,0.18692233411505033,0.14226213718599512,0.05426226762686315,0.0894565885348082,0.15346851654215576,0.18735133622498956,0.24143337066069437,0.24624086080838725,0.17654075546719694,0.21088251218191656,0.10694586312563847,0.13863404689092762,0.10489221576488579,0.059318526693336926,0.06862037499592144,0.919965922832489
model-seed_843420-lr_5e-05-ep_7,0.2147964796479649,0.17136150234741787,0.05270213657310441,0.09178743961352664,0.1485212173167596,0.18956082503157023,0.2442448062886019,0.2544951590594745,0.1838690357356757,0.22429524717417948,0.10602335586969891,0.1353337415799143,0.1024155699198543,0.03969867941150962,0.05293374482676161,0.9222882390022278
model-seed_812747-lr_7e-05-ep_4,0.24248777078965766,0.2270178641283087,0.062170529662789686,0.09820096533567346,0.15411032410388492,0.19563697384981127,0.25304191077061755,0.26900746474979265,0.19151490894536727,0.22739053335152093,0.12327088969424738,0.13662200568412508,0.113183914486974,0.026519693960134982,0.0003726692232122186,0.9073483943939209
